Okta,444756,15,www.okta.com,"San Francisco, CA",Information Technology,Computer Hardware & Software,Unknown / Non-Applicable per year,501 to 1000 employees,https://grnh.se/b5d859151us
Premise Data Corporation,952471,15,www.premise.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,"",51 to 200 employees,https://grnh.se/6606feaf1us
SimilarWeb,995824,15,www.similarweb.com,"Tel Aviv-Yafo, Israel",Information Technology,Internet,,201 to 500 employees,https://grnh.se/9486202a1us
Take-Two,7413,15,www.take2games.com,"New York, NY",Media,Video Games,$1 to $2 billion (USD) per year,1001 to 5000 employees,https://grnh.se/17e2491e1us
Wunderman Thompson,2949002,15,www.wundermanthompson.com,"New York, NY",Business Services,Advertising & Marketing,Unknown / Non-Applicable per year,10000+ employees,https://grnh.se/2b2539d02
Zymergen,983945,15,www.zymergen.com,"Emeryville, CA",,,,201 to 500 employees,https://grnh.se/b1f56d461us
Benchling,1291069,14,www.benchling.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/6bb228c11us
Branch,1017649,14,www.branch.io,"Redwood City, CA",Information Technology,Computer Hardware & Software,,201 to 500 employees,https://grnh.se/0998215f1us
BuzzFeed,496875,14,www.buzzfeed.com,"New York, NY",Media,Publishing,,1001 to 5000 employees,https://grnh.se/f3cb44b41us
FabFitFun,655209,14,www.fabfitfun.com,"Los Angeles, CA",Consumer Services,"Health, Beauty, & Fitness",,201 to 500 employees,https://grnh.se/43d064db1us
Flatiron Health,844757,14,www.flatiron.com,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,501 to 1000 employees,https://grnh.se/1b853e411us
Grammarly,636873,14,www.grammarly.com,"San Francisco, CA",Information Technology,Internet,,201 to 500 employees,https://grnh.se/69b075501us
Harry's,812311,14,www.harrys.com,"New York, NY",Manufacturing,Consumer Products Manufacturing,,201 to 500 employees,https://grnh.se/9da6503d1us
PlusAI,2600817,14,www.plus.ai,"Cupertino, CA",Business Services,Research & Development,"",51 to 200 employees,https://grnh.se/fe8dbc492
Reef,721856,14,www.reef.com,"Ocean City, NJ",Retail,"Department, Clothing, & Shoe Stores",,1 to 50 employees,https://grnh.se/3d98a2103us
Robinhood,1167765,14,www.robinhood.com,"Menlo Park, CA",Finance,Brokerage Services,,501 to 1000 employees,https://grnh.se/86a3a0851us
2K,454711,13,www.2kgames.com,"Novato, CA",Media,Video Games,,Unknown,https://grnh.se/0d2a82de3us
Astra,851187,13,www.astra-us.com,"Tucson, AZ",Information Technology,IT Services,,1 to 50 employees,https://grnh.se/36fe630c2us
GoSite,1629980,13,www.gosite.com,"San Diego, CA",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/ca93d2c92us
Juniper Square,1545781,13,www.junipersquare.com,"San Francisco, CA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/61918deb1us
quip,1313796,13,www.getquip.com,"Brooklyn, NY",Retail,Drug & Health Stores,,1 to 50 employees,https://grnh.se/e6bbb5c61us
SpotOn,504721,13,www.spoton.com,"San Francisco, CA",Business Services,Advertising & Marketing,,501 to 1000 employees,https://grnh.se/1c8e56af3us
Barry's,1413377,12,www.barrys.com,"Hollywood, CA","Arts, Entertainment & Recreation",Sports & Recreation,,1001 to 5000 employees,https://grnh.se/849fab8a1
Collective Health,948986,12,www.collectivehealth.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/bf3abca11us
Datadog,762009,12,www.datadog.com,"New York, NY",Information Technology,Computer Hardware & Software,Unknown / Non-Applicable per year,1001 to 5000 employees,https://grnh.se/5ac78e701
Essence,449791,12,www.essencedigital.com,"San Francisco, CA",Business Services,Advertising & Marketing,$2 to $5 billion (USD) per year,1001 to 5000 employees,https://grnh.se/694bdb361us
Postmates,620298,12,www.postmates.com,"San Francisco, CA",Transportation & Logistics,Express Delivery Services,,1001 to 5000 employees,https://grnh.se/w08h3o
Reformation,806933,12,www.thereformation.com,"Los Angeles, CA",Manufacturing,Consumer Products Manufacturing,,501 to 1000 employees,https://grnh.se/54d956761us
stensul,1785188,12,www.stensul.com,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/71df39653us
Artsy,793485,11,www.artsy.net,"New York, NY",Information Technology,Internet,,201 to 500 employees,https://grnh.se/d50baedf1us
Everlane,801772,11,www.everlane.com,"San Francisco, CA",Retail,Other Retail Stores,,51 to 200 employees,https://grnh.se/9daafc7a3us
Frame.io,1449846,11,www.frame.io,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/wjc05ss22
Freenome,1411775,11,www.freenome.com,"South San Francisco, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,51 to 200 employees,https://grnh.se/3075a2c62us
frog design,9826,11,www.frogdesign.com,"San Francisco, CA",Business Services,Consulting,,501 to 1000 employees,https://grnh.se/54a5d2bc1us
Gotion,989648,11,www.gotion.com,"Fremont, CA","Oil, Gas, Energy & Utilities",Energy,,1 to 50 employees,https://grnh.se/7ab799a62
Pendo,1061465,11,www.pendo.io,"Raleigh, NC",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/9d52925b2us
Sila Nanotechnologies,1376802,11,www.silanano.com,"Alameda, CA","Oil, Gas, Energy & Utilities",Energy,,51 to 200 employees,https://grnh.se/68d83cc11us
Stripe,671932,11,www.stripe.com,"San Francisco, CA",Information Technology,Internet,,1001 to 5000 employees,https://grnh.se/18556de61us
TuSimple,1147857,11,www.tusimple.ai,"San Diego, CA",Information Technology,Computer Hardware & Software,,201 to 500 employees,https://grnh.se/1a9d0a5e2us
Allbirds,1989436,10,www.allbirds.com,"San Francisco, CA",,,,51 to 200 employees,https://grnh.se/80353a871us
Casper,990859,10,www.casper.com,"New York, NY",Retail,Home Furniture & Housewares Stores,Unknown / Non-Applicable per year,501 to 1000 employees,https://grnh.se/6cb0ed981us
Clear Street,3174404,10,www.clearstreet.io,"New York, NY","",,"",51 to 200 employees,https://grnh.se/a0cd30dc1us
Click Therapeutics,1587777,10,www.clicktherapeutics.com,"New York, NY",,,,1 to 50 employees,https://grnh.se/147cf9652us
Dropbox,415350,10,www.dropbox.com,"San Francisco, CA",Information Technology,Computer Hardware & Software,,1001 to 5000 employees,https://grnh.se/c0e12abd1us
Earnest,993365,10,www.meetearnest.com,"San Francisco, CA",Finance,Lending,,51 to 200 employees,https://grnh.se/2e889e1e1us
GoPro,407465,10,www.gopro.com,"San Mateo, CA",Manufacturing,Consumer Products Manufacturing,$1 to $2 billion (USD) per year,1001 to 5000 employees,https://grnh.se/8e07bc771us
JD.com,771082,10,www.jd.com,"Beijing, China",Retail,"Department, Clothing, & Shoe Stores",Unknown / Non-Applicable per year,5001 to 10000 employees,https://grnh.se/c7da9cb42us
Lattice,1654146,10,www.lattice.com,"San Francisco, CA",Information Technology,Computer Hardware & Software,,1 to 50 employees,https://grnh.se/b9106b432us
Noom,434924,10,www.noom.com,"New York, NY",Consumer Services,"Health, Beauty, & Fitness",,1001 to 5000 employees,https://grnh.se/82d94d321us
Orchard,1453771,10,www.orchardhomes.com,"New York, NY",Real Estate,Real Estate,,51 to 200 employees,https://grnh.se/243e90e72us
PlayQ,1368708,10,www.playq.net,"Santa Monica, CA",Media,Video Games,,51 to 200 employees,https://grnh.se/e0b13bc41us
SeatGeek,478188,10,www.seatgeek.com,"New York, NY",Information Technology,Internet,,201 to 500 employees,https://grnh.se/d11b0c2d1us
Shutterstock,270840,10,www.shutterstock.com,"New York, NY",Information Technology,Internet,$500 million to $1 billion (USD) per year,1001 to 5000 employees,https://grnh.se/98a7c54e1us
Tatari,2150095,10,www.tatari.tv,"San Francisco, CA",Media,TV Broadcast & Cable Networks,,51 to 200 employees,https://grnh.se/5a2906952us
Ultra Mobile,940957,10,www.ultramobile.com,"Costa Mesa, CA",Telecommunications,Telecommunications Services,,51 to 200 employees,https://grnh.se/97edb8113us
Zogenix,100281,10,www.zogenix.com,"Emeryville, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable per year,51 to 200 employees,https://grnh.se/42fb0a073us
Bluebeam,642659,9,www.bluebeam.com,"Pasadena, CA",Information Technology,Computer Hardware & Software,,201 to 500 employees,https://grnh.se/42433fb11us
CB Insights,568629,9,www.cbinsights.com,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/5yxopk
Cedar,1801509,9,www.cedar.com,"New York, NY",Information Technology,Internet,,51 to 200 employees,https://grnh.se/9bee743a1us
Gemini,1400858,9,www.gemini.com,"New York, NY",Finance,Brokerage Services,,51 to 200 employees,https://grnh.se/437a1d8e1
Learfield IMG College,698985,9,www.learfield.com,"Plano, TX",Business Services,Advertising & Marketing,,1001 to 5000 employees,https://grnh.se/edda45ab3us
Maesa,403462,9,www.maesa.com,"New York, NY",Manufacturing,Consumer Products Manufacturing,,201 to 500 employees,https://grnh.se/eaea80772us
Miles,1538117,9,www.getmiles.com,"Redwood City, CA",Information Technology,Internet,,1 to 50 employees,https://grnh.se/9bbe4e812
Pinterest,503467,9,www.pinterest.com,"San Francisco, CA",Information Technology,Computer Hardware & Software,$100 to $500 million (USD) per year,1001 to 5000 employees,https://grnh.se/55dfcc6e1us
Pocket Gems,453434,9,www.pocketgems.com,"San Francisco, CA",Media,Video Games,,201 to 500 employees,https://grnh.se/dbd7d38e1us
Procore Technologies,691343,9,www.procore.com,"Carpinteria, CA",Information Technology,Computer Hardware & Software,,1001 to 5000 employees,https://grnh.se/19bb5fd21us
PUBG,2345261,9,www.pubg.com,"Seoul, South Korea",Media,Video Games,,501 to 1000 employees,https://grnh.se/ea1987bb2us
Red Ventures,142090,9,www.redventures.com,"Fort Mill, SC",Business Services,Advertising & Marketing,,1001 to 5000 employees,https://grnh.se/8ef4f77e1us
ServiceChannel,356519,9,www.servicechannel.com,"Pleasanton, CA",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/8479f1e22us
Teachers Pay Teachers,935687,9,www.teacherspayteachers.com,"New York, NY",Information Technology,Internet,,51 to 200 employees,https://grnh.se/6eab1b881us
ZipRecruiter,531004,9,www.ziprecruiter.com,"Santa Monica, CA",Business Services,Staffing & Outsourcing,,1001 to 5000 employees,https://grnh.se/0e7c0c891us
