Kindbody,3277978,3,www.kindbody.com,"New York, NY",Health Care,Health Care Services & Hospitals,"",51 to 200 employees,https://grnh.se/0e43cb6d2us
Leland Saylor Associates,451180,3,www.lelandsaylor.com,"San Francisco, CA","Construction, Repair & Maintenance",Construction,"",1 to 50 employees,https://grnh.se/3a81dc291us
LRW,35348,3,www.lrwonline.com,"Los Angeles, CA",Business Services,Advertising & Marketing,,201 to 500 employees,https://grnh.se/55d015a12us
Made Renovation,4004704,3,www.maderenovation.com,"San Francisco, CA","",,"",1 to 50 employees,https://grnh.se/21156ce33us
MemSQL,633058,3,www.memsql.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/g8ftwu
Miles (Norway),1051870,3,www.miles.in,"Mumbai, India",Information Technology,IT Services,"",51 to 200 employees,https://grnh.se/8ed2657c2
MLB,3511149,3,"","Poughkeepsie, NY","",,"",Unknown,https://grnh.se/1d3f9b671us
Narrativ,347100,3,www.narrativ.com,"New York, NY",Information Technology,Internet,,1 to 50 employees,https://grnh.se/0597b9802
Novus Partners,662867,3,www.novus.com,"New York, NY",Finance,Financial Analytics & Research,,1 to 50 employees,https://grnh.se/c28e63f71us
Odonate Therapeutics,1904081,3,www.odonate.com,"San Diego, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,51 to 200 employees,https://grnh.se/c0b46c953us
On Board Experiential Marketing,825057,3,www.obexp.com,"Sausalito, CA",Business Services,Advertising & Marketing,,51 to 200 employees,https://grnh.se/9c0cbe0a2us
Parsley Health,1391009,3,www.parsleyhealth.com,"New York, NY",Health Care,Health Care Services & Hospitals,,1 to 50 employees,https://grnh.se/72332ab93us
PDT Partners,713598,3,www.pdtpartners.com,"New York, NY",Finance,Investment Banking & Asset Management,,51 to 200 employees,https://grnh.se/7411a6341
Preply,1620838,3,www.preply.com,"Kiev, Ukraine",Education,Education Training Services,"",51 to 200 employees,https://grnh.se/012fe7d73us
Prosek,722021,3,www.prosek.com,"New York, NY",Business Services,Advertising & Marketing,,51 to 200 employees,https://grnh.se/dhj2m3
rag & bone,433751,3,www.rag-bone.com,"New York, NY",Retail,"Department, Clothing, & Shoe Stores",,501 to 1000 employees,https://grnh.se/233cd7821us
Riskified,1013313,3,www.riskified.com,"New York, NY",Business Services,Research & Development,,201 to 500 employees,https://grnh.se/475a621a2us
Roblox,242265,3,www.roblox.com,"San Mateo, CA",Information Technology,Computer Hardware & Software,,501 to 1000 employees,https://grnh.se/43c847351
RubiconMD,1332735,3,www.rubiconmd.com,"New York, NY",Health Care,Health Care Services & Hospitals,,1 to 50 employees,https://grnh.se/c28e7d472us
Rye Harrison Veterinary Hospital,2233990,3,www.rhvh.com,"Rye, NY",Consumer Services,Veterinary Services,"",1 to 50 employees,https://grnh.se/2202d31d2us
SalesLoft,759703,3,www.salesloft.com,"Atlanta, GA",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/b2c640101us
Sidewalk Labs,2328370,3,www.sidewalklabs.com,"New York, NY",,,,51 to 200 employees,https://grnh.se/48102ee91us
MemSQL,633058,3,www.memsql.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/a607b2971us
Singular,1090159,3,www.singular.net,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/ae00feb62us
Smart Design,238871,3,www.smartdesignworldwide.com,"New York, NY",Business Services,Consulting,,51 to 200 employees,https://grnh.se/e0190cb51
SMCP,912690,3,www.smcp.com,"Paris, France",Retail,"Department, Clothing, & Shoe Stores",Unknown / Non-Applicable,5001 to 10000 employees,https://grnh.se/501fbbce2us
Snyk,2094989,3,www.snyk.io,"London, United Kingdom",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/fe192d232
Stack Overflow,504626,3,www.stackoverflow.com,"New York, NY",Information Technology,Internet,,201 to 500 employees,https://grnh.se/43207b211us
StackRox,1738730,3,www.stackrox.com,"Mountain View, CA",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/2f59a8251us
Stellar Mental Health & Mediation,2916184,3,www.stellaridaho.com,"Nampa, ID",Health Care,Health Care Services & Hospitals,"",1 to 50 employees,https://grnh.se/92b893ef3us
Stylitics,1873109,3,www.stylitics.com,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,1 to 50 employees,https://grnh.se/b9f547252us
Sundae,2555785,3,www.sundae.com,"San Francisco, CA",Real Estate,Real Estate,,1 to 50 employees,https://grnh.se/9e3a6bbf2us
Symbio Robotics,2533561,3,www.symb.io,"Emeryville, CA",Information Technology,Enterprise Software & Network Solutions,"",1 to 50 employees,https://grnh.se/bc4c8a792us
Tally Technologies,1295468,3,www.meettally.com,"San Francisco, CA",Finance,Investment Banking & Asset Management,,51 to 200 employees,https://grnh.se/803546e12us
The Orchard,40112,3,www.theorchard.com,"New York, NY",Media,Music Production & Distribution,,201 to 500 employees,https://grnh.se/30a67b702us
The Primary School,1814706,3,www.theprimaryschool.org,"East Palo Alto, CA",Education,Preschool & Child Care,,51 to 200 employees,https://grnh.se/e061ce851
ThoughtSpot,818996,3,www.thoughtspot.com,"Sunnyvale, CA",Information Technology,Enterprise Software & Network Solutions,,501 to 1000 employees,https://grnh.se/57b0af6e1
ThoughtWorks,38334,3,www.thoughtworks.com,"Chicago, IL",Information Technology,IT Services,"",5001 to 10000 employees,https://grnh.se/ace8a1601us
Too Good To Go,2402025,3,www.toogoodtogo.com,"Copenhagen, Denmark","",,"",51 to 200 employees,https://grnh.se/4e729c543us
Understood,2415916,3,www.understood.org,"New York, NY",Non-Profit,Social Assistance,,51 to 200 employees,https://grnh.se/f0081f152us
Uniform Teeth,2556428,3,www.uniformteeth.com,"San Francisco, CA",Health Care,Health Care Services & Hospitals,"",1 to 50 employees,https://grnh.se/c8095a6e3us
Veriff,2556702,3,www.veriff.com,"Tallinn, Estonia",Information Technology,IT Services,Unknown / Non-Applicable,201 to 500 employees,https://grnh.se/6e1d9dd42
"Visual Concepts (Novato, CA)",1021451,3,www.vcentertainment.com,"Novato, CA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/9273b4eb3us
VSCO,816929,3,www.vsco.co,"Oakland, CA",Information Technology,Internet,,51 to 200 employees,https://grnh.se/c36e6d092us
Westbrook,3676768,3,www.westbrookinc.com,"Calabasas, CA",Media,Motion Picture Production & Distribution,"",51 to 200 employees,https://grnh.se/45c1d0c22us
WithumSmith + Brown,356221,3,www.withum.com,"Princeton, NJ",Accounting & Legal,Accounting,,1001 to 5000 employees,https://grnh.se/d624aea62us
Xsense.ai,3271218,3,"","San Diego, CA","",,Unknown / Non-Applicable per year,Unknown,https://grnh.se/09cc04052us
10x Genomics,884452,2,www.10xgenomics.com,"Pleasanton, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable per year,501 to 1000 employees,https://grnh.se/9f579bcd1us
Academy of Thought and Industry,2149119,2,www.thoughtandindustry.com,"Lake Forest, CA",Education,K-12 Education,,1 to 50 employees,https://grnh.se/2efafaa91us
Acronis,152824,2,www.acronis.com,"Schaffhausen, Switzerland",Information Technology,Enterprise Software & Network Solutions,,1001 to 5000 employees,https://grnh.se/5d0bc0f22us
Ad Hoc (DC),1508438,2,www.adhocteam.us,"Washington, DC",Information Technology,Computer Hardware & Software,,201 to 500 employees,https://grnh.se/4c3fbaaa2us
AEG,239105,2,www.aegworldwide.com,"Los Angeles, CA",Real Estate,Real Estate,,10000+ employees,https://grnh.se/e793a6ae2us
Affirma,485376,2,www.affirmaconsulting.com,"Bellevue, WA",Business Services,Consulting,,201 to 500 employees,https://grnh.se/676e30453us
Alma (NY),3378157,2,www.helloalma.com,"New York, NY","",,"",1 to 50 employees,https://grnh.se/5a672c062us
Ambys Medicines,2542854,2,www.ambys.com,"Redwood City, CA","",,"",1 to 50 employees,https://grnh.se/6b7f24302us
Amika,650954,2,www.loveamika.com,"Brooklyn, NY",Manufacturing,Consumer Products Manufacturing,,51 to 200 employees,https://grnh.se/7588db332us
ANC Sports,803513,2,www.anc.com,"Purchase, NY",Business Services,Advertising & Marketing,,201 to 500 employees,https://grnh.se/bdb7e33b3us
ANC,3416982,2,www.anc365.com,"Smyrna, GA",Media,Publishing,"",1001 to 5000 employees,https://grnh.se/a98b72483us
Apalon,1789715,2,www.apalon.com,"Minsk, Belarus",Information Technology,Computer Hardware & Software,Unknown / Non-Applicable,51 to 200 employees,https://grnh.se/ec58f47e2us
Apisero,2260295,2,www.apisero.com,"Chandler, AZ",Information Technology,IT Services,,51 to 200 employees,https://grnh.se/b23035fe3us
AppLovin,576360,2,www.applovin.com,"Palo Alto, CA",Media,Video Games,,51 to 200 employees,https://grnh.se/0e308b971
AppNeta,257774,2,www.appneta.com,"Boston, MA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/480d7ca31us
ATTN:,1346698,2,www.attn.com,"Los Angeles, CA",Media,Publishing,,51 to 200 employees,https://grnh.se/9a3371ed1us
August Home,1014820,2,www.august.com,"San Francisco, CA",Manufacturing,Consumer Products Manufacturing,Unknown / Non-Applicable per year,51 to 200 employees,https://grnh.se/28a5c57d1us
B12,1335645,2,www.b12.io,"New York, NY",Information Technology,Internet,,1 to 50 employees,https://grnh.se/037bc6011us
Banza,995663,2,www.eatbanza.com,"Detroit, MI",,,$5 to $10 million (USD) per year,1 to 50 employees,https://grnh.se/4329b8693us
Beekeeper,1427524,2,www.beekeeper.io,"Zurich, Switzerland",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/56a05c341us
BGB Group,271026,2,www.bgbnewyork.com,"New York, NY",Business Services,Advertising & Marketing,,201 to 500 employees,https://grnh.se/54305c071
Billtrust,579129,2,www.billtrust.com,"Lawrenceville, NJ",Information Technology,Computer Hardware & Software,,501 to 1000 employees,https://grnh.se/0b22c67e3us
Bionic,1668354,2,www.onbionic.com,"New York, NY",Information Technology,IT Services,,51 to 200 employees,https://grnh.se/1990becd2us
Bliss Point Media,3284629,2,www.blisspointmedia.com,"Santa Monica, CA",Business Services,Advertising & Marketing,"",1 to 50 employees,https://grnh.se/8e71fd702
Booster Fuels,1255854,2,www.boosterfuels.com,"Burlingame, CA","Oil, Gas, Energy & Utilities",Oil & Gas Services,,Unknown,https://grnh.se/8b3f073c2
Boxed.com,962248,2,www.boxed.com,"Edison, NJ",Retail,General Merchandise & Superstores,"",51 to 200 employees,https://grnh.se/ff5657c71us
Brave,2159279,2,www.brave.com,"San Francisco, CA",,,,51 to 200 employees,https://grnh.se/34c1a49d1
Brex,2040671,2,www.brex.com,"San Francisco, CA",Finance,Financial Transaction Processing,,201 to 500 employees,https://grnh.se/d340d3152us
Brightcove,243562,2,www.brightcove.com,"Boston, MA",Information Technology,Enterprise Software & Network Solutions,$100 to $500 million (USD) per year,501 to 1000 employees,https://grnh.se/817438cb1us
Brookfield Residential,388135,2,www.brookfieldrp.com,"Calgary, Canada",Real Estate,Real Estate,,1001 to 5000 employees,https://grnh.se/5069552f1us
C3.ai,312703,2,www.c3iot.com,"Redwood City, CA",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/42b26bd62
Callisto,1638417,2,www.projectcallisto.org,"San Francisco, CA",,,Unknown / Non-Applicable per year,1 to 50 employees,https://grnh.se/968c78d13us
Canonical,230560,2,www.canonical.com,"London, United Kingdom",Information Technology,IT Services,,501 to 1000 employees,https://grnh.se/4ffaf5381
Capsule,1543024,2,www.capsulecares.com,"New York, NY",Health Care,Health Care Services & Hospitals,,51 to 200 employees,https://grnh.se/8069c5092us
Capsule8,1491145,2,www.capsule8.io,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,1 to 50 employees,https://grnh.se/ba9565022us
CarGurus,751348,2,www.cargurus.com,"Cambridge, MA",Information Technology,Internet,$500 million to $1 billion (USD) per year,501 to 1000 employees,https://grnh.se/ef0304091us
CATHEXIS (VA),2931205,2,www.cathexiscorp.com,"Falls Church, VA",,,Unknown / Non-Applicable per year,51 to 200 employees,https://grnh.se/ee24db463us
Chronosphere,3190342,2,www.chronosphere.io,"New York, NY",Information Technology,Internet,"",1 to 50 employees,https://grnh.se/55a8a1643us
CipherHealth,712504,2,www.cipherhealth.com,"New York, NY",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/7d15e79b1us
Clubhouse Software,1726788,2,www.clubhouse.io,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,1 to 50 employees,https://grnh.se/98f7911d2us
Cobblestone Energy,3298374,2,www.cobblestoneenergy.com,"Dubai, United Arab Emirates","Oil, Gas, Energy & Utilities",Energy,"",1 to 50 employees,https://grnh.se/b72a0efb3us
Cohen & Steers,35098,2,www.cohenandsteers.com,"New York, NY",Finance,Investment Banking & Asset Management,$100 to $500 million (USD) per year,201 to 500 employees,https://grnh.se/aa69bfab3us
Convene,486596,2,www.convene.com,"New York, NY",Real Estate,Real Estate,,501 to 1000 employees,https://grnh.se/46f5117e1us
Cowen,6259,2,www.cowen.com,"New York, NY",Finance,Investment Banking & Asset Management,$100 to $500 million (USD) per year,501 to 1000 employees,https://grnh.se/19f08d6f2us
Craft.co,3432579,2,www.craft.co,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,"",51 to 200 employees,https://grnh.se/b0130f293us
CrossBorder Solutions,1581128,2,www.crossbordersolutions.io,"New Rochelle, NY",,,,51 to 200 employees,https://grnh.se/94ef275d3us
Current Global,2553730,2,www.currentglobal.com,"Bengaluru, India",,,Unknown / Non-Applicable per year,201 to 500 employees,https://grnh.se/99bf5b6c2us
Datameer,467983,2,www.datameer.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/e27e4de13
DataRobot,911432,2,www.datarobot.com,"Boston, MA",Information Technology,IT Services,,51 to 200 employees,https://grnh.se/f56c45141us
DeepMap,1980571,2,www.deepmap.ai,"Palo Alto, CA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/0767bf0c2us
DELOS,4167083,2,www.delosincorporated.com,"South San Francisco, CA","",,"",Unknown,https://grnh.se/22514c4b1us
Digit,1699077,2,www.digit.co,"San Francisco, CA",Information Technology,Internet,,51 to 200 employees,https://grnh.se/ef6a15581us
DNA,999524,2,www.denimna.com,"Columbus, GA",Manufacturing,Consumer Products Manufacturing,,201 to 500 employees,https://grnh.se/fb858ce22us
Doctolib,1018530,2,www.doctolib.fr,"Paris, France",Information Technology,Enterprise Software & Network Solutions,,201 to 500 employees,https://grnh.se/c58999203us
Dots,32741,2,www.dots.com,"Solon, OH",Retail,"Department, Clothing, & Shoe Stores",,1001 to 5000 employees,https://grnh.se/84052bdb1us
Dutchie,3036285,2,www.dutchie.com,"Bend, OR",Information Technology,Enterprise Software & Network Solutions,,1 to 50 employees,https://grnh.se/a4a7a9fb2us
dYdX,2404358,2,www.dydx.exchange,"San Francisco, CA",Information Technology,Computer Hardware & Software,Unknown / Non-Applicable,Unknown,https://grnh.se/9176ce0a2us
Elation Health,1333341,2,www.elationhealth.com,"San Francisco, CA",Health Care,Health Care Services & Hospitals,,51 to 200 employees,https://grnh.se/44a9ab7a1us
Elementary Robotics,4361709,2,www.elementaryrobotics.com,"Los Angeles, CA","",,Unknown / Non-Applicable per year,Unknown,https://grnh.se/961da2873us
Emulate,1176286,2,www.emulatebio.com,"Boston, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,51 to 200 employees,https://grnh.se/f054229f2us
Entelo,784241,2,www.entelo.com,"San Francisco, CA",Information Technology,Internet,,51 to 200 employees,https://grnh.se/7aa666db1us
Expa,869635,2,www.expa.com,"San Francisco, CA",Business Services,Consulting,,1 to 50 employees,https://grnh.se/d85ad8b31
ExpertVoice,802460,2,www.experticity.com,"Salt Lake City, UT",Business Services,Advertising & Marketing,,51 to 200 employees,https://grnh.se/8d9fa96a1us
Exxact,434659,2,www.exxactcorp.com,"Fremont, CA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/c98083d21
Faraday Future,1082998,2,www.faradayfuture.com,"Gardena, CA",Manufacturing,Transportation Equipment Manufacturing,,501 to 1000 employees,https://grnh.se/8d2c7d063us
Farmer's Business Network,4182214,2,www.fbn.com,"San Carlos, CA","",,"",Unknown,https://grnh.se/1216912f1us
Farmstead,3829272,2,www.farmsteadapp.com,"Burlingame, CA","",,Unknown / Non-Applicable per year,1 to 50 employees,https://grnh.se/e06c3e4a3us
Fathom,424381,2,www.fathomdelivers.com,"Cleveland, OH",Business Services,Advertising & Marketing,,51 to 200 employees,https://grnh.se/60f77bd83us
Figure,2025233,2,www.figure.com,"San Francisco, CA",Finance,Lending,,201 to 500 employees,https://grnh.se/8e4aba482us
First Look Media,1039894,2,www.firstlook.org,"New York, NY",,,,1 to 50 employees,https://grnh.se/de4b7cd71us
Fivesky,1011870,2,www.fivesky.com,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/59be4b862us
Force Therapeutics,788780,2,www.forcetherapeutics.com,"New York, NY",Health Care,Health Care Services & Hospitals,,1 to 50 employees,https://grnh.se/fb8137442us
Forward Networks,1318213,2,www.forwardnetworks.com,"Palo Alto, CA",,,,1 to 50 employees,https://grnh.se/33f1c2cb3us
Free Agency,2871755,2,www.freeagency.com,"New York, NY","",,"",1 to 50 employees,https://grnh.se/24cb9d963us
G-Research,297747,2,www.gresearch.co.uk,"London, United Kingdom",Information Technology,Computer Hardware & Software,"",501 to 1000 employees,https://grnh.se/73b1cda32
GCA Advisors,278150,2,www.gcaglobal.com,"San Francisco, CA",Finance,Investment Banking & Asset Management,$50 to $100 million (USD) per year,201 to 500 employees,https://grnh.se/b6b5171b1us
GCM Grosvenor,367142,2,www.gcmgrosvenor.com,"Chicago, IL",Finance,Investment Banking & Asset Management,,51 to 200 employees,https://grnh.se/d13198173us
George P. Johnson,15301,2,www.gpj.com,"Auburn Hills, MI",Business Services,Advertising & Marketing,,501 to 1000 employees,https://grnh.se/cc051c1e1us
Golin,39603,2,www.golin.com,"Chicago, IL",Business Services,Advertising & Marketing,"",1001 to 5000 employees,https://grnh.se/24d664622us
Green Thumb Industries,1764573,2,www.gtigrows.com,"Chicago, IL",Retail,Drug & Health Stores,Unknown / Non-Applicable,1001 to 5000 employees,https://grnh.se/76fff06a1us
Guide Dogs for the Blind,510174,2,www.guidedogs.com,"San Rafael, CA",Non-Profit,Social Assistance,,201 to 500 employees,https://grnh.se/3b8a23e43us
Havenly,1009824,2,www.havenly.com,"Denver, CO",Consumer Services,"Health, Beauty, & Fitness",,51 to 200 employees,https://grnh.se/ca6082182us
HDS Global (CA),1974240,2,www.hdsglobal.com,"Palo Alto, CA",Retail,Food & Beverage Stores,,1 to 50 employees,https://grnh.se/79a4cc7d1us
HelloSign,879257,2,www.hellosign.com,"San Francisco, CA",Information Technology,Internet,,51 to 200 employees,https://grnh.se/bae6bb4f1us
HomeLight,1156474,2,www.homelight.com,"San Francisco, CA",Real Estate,Real Estate,,51 to 200 employees,https://grnh.se/6bcf1b521us
Huge,139928,2,www.hugeinc.com,"Brooklyn, NY",Information Technology,Internet,,1001 to 5000 employees,https://grnh.se/734y8f
Hugo,1404369,2,www.hugo.ai,"Surry Hills, Australia",Information Technology,Computer Hardware & Software,,1 to 50 employees,https://grnh.se/ff74b8212
Interstellar Lab,3181216,2,www.interstellarlab.earth,"Los Angeles, CA","",,"",Unknown,https://grnh.se/bebafe7a3us
IONpath,2382349,2,www.ionpath.com,"Menlo Park, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,1 to 50 employees,https://grnh.se/47e619122us
January Digital,1403582,2,www.januarydigital.com,"New York, NY",Media,Publishing,,1 to 50 employees,https://grnh.se/bfb89d382us
Jelli,548082,2,www.jelli.com,"San Mateo, CA",Media,Radio,,1 to 50 employees,https://grnh.se/a10ef88d1us
Jenzabar,22617,2,www.jenzabar.net,"Boston, MA",Information Technology,Computer Hardware & Software,,201 to 500 employees,https://grnh.se/7ae9d9ee3us
JustAnswer,627534,2,www.justanswer.com,"San Francisco, CA",Information Technology,Internet,,201 to 500 employees,https://grnh.se/fb395b512us
Kin + Carta Americas,643120,2,www.solstice.com,"Chicago, IL",Business Services,Consulting,$100 to $500 million (USD) per year,1001 to 5000 employees,https://grnh.se/8b5fd9fe2us
Knot Standard,779485,2,www.knotstandard.com,"New York, NY",Retail,Other Retail Stores,,51 to 200 employees,https://grnh.se/6bp70g1
Ladder,1405582,2,www.ladderlife.com,"Palo Alto, CA",Insurance,Insurance Carriers,,1 to 50 employees,https://grnh.se/e026186b1us
Lambda,1349943,2,www.lambdalabs.com,"San Francisco, CA",,,,1 to 50 employees,https://grnh.se/0a83ac8e3us
Level Ex,1631658,2,www.level-ex.com,"Chicago, IL",Media,Video Games,,51 to 200 employees,https://grnh.se/349dd1203us
LGCY Power,909873,2,www.lgcypower.com,"Lehi, UT","Oil, Gas, Energy & Utilities",Energy,,201 to 500 employees,https://grnh.se/7e6466181
Liberty Lending,1836943,2,www.libertylending.com,"New York, NY",Finance,Lending,,51 to 200 employees,https://grnh.se/53ac938a2us
Lily AI,2269617,2,www.lilystyle.ai,"Mountain View, CA",Information Technology,Enterprise Software & Network Solutions,,1 to 50 employees,https://grnh.se/4d472bd13
Litify,1363755,2,www.litify.com,"Brooklyn, NY",Information Technology,Internet,,1 to 50 employees,https://grnh.se/04bdd1451us
Lively (NY),3302183,2,www.listenlively.com,"New York, NY",Health Care,Health Care Services & Hospitals,"",1 to 50 employees,https://grnh.se/38b378cf2us
Mack Weldon,1704115,2,www.mackweldon.com,"New York, NY",Retail,"Department, Clothing, & Shoe Stores",,1 to 50 employees,https://grnh.se/620febed1
MediaAlpha,937369,2,www.mediaalpha.com,"Los Angeles, CA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/2f1efd112us
MeUndies,958234,2,www.meundies.com,"Los Angeles, CA",Retail,"Department, Clothing, & Shoe Stores",,51 to 200 employees,https://grnh.se/qctdps1
Meyer Corporation U.S.,25512,2,www.meyer.com,"Vallejo, CA",Manufacturing,Consumer Products Manufacturing,,201 to 500 employees,https://grnh.se/48b89da42us
Mint Mobile,2642038,2,mintmobile.herokuapp.com,"","",,"",Unknown,https://grnh.se/c15b77c13us
Misfits Market,3367355,2,www.misfitsmarket.com,"Philadelphia, PA","",,Unknown / Non-Applicable per year,51 to 200 employees,https://grnh.se/21c582513us
MM.Lafleur,1125185,2,www.mmlafleur.com,"New York, NY",Retail,"Department, Clothing, & Shoe Stores",,51 to 200 employees,https://grnh.se/e56fdfdd1us
Motive (New York),437974,2,www.motivenyc.tv,"Austin, TX",Business Services,Advertising & Marketing,,201 to 500 employees,https://grnh.se/ba6185bb3us
Moxē,2581410,2,www.getmoxe.com,"Winter Park, FL",Business Services,Advertising & Marketing,"",1 to 50 employees,https://grnh.se/bed2f3d83us
National Coordination Center (DC),4315251,2,www.nationalcoordinationcenter.com,"Washington, DC","",,Unknown / Non-Applicable per year,51 to 200 employees,https://grnh.se/ecb6969b3us
NerdWallet,687336,2,www.nerdwallet.com,"San Francisco, CA",Finance,Financial Analytics & Research,,201 to 500 employees,https://grnh.se/5b5f43a31us
New Fortress Energy,1350621,2,www.newfortressenergy.com,"New York, NY","Oil, Gas, Energy & Utilities",Energy,Unknown / Non-Applicable,201 to 500 employees,https://grnh.se/8b9799f62us
Nines,2604349,2,www.ninesradiology.com,"Palo Alto, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"",1 to 50 employees,https://grnh.se/f53b4f592
Notable,2311834,2,www.notablehealth.com,"San Mateo, CA",Health Care,Health Care Services & Hospitals,,1 to 50 employees,https://grnh.se/36df4d8f2us
Nurix,1478094,2,www.nurix-inc.com,"San Francisco, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,51 to 200 employees,https://grnh.se/a7e398f22us
Nurx,1945970,2,www.nurx.com,"San Francisco, CA",Health Care,Health Care Services & Hospitals,,51 to 200 employees,https://grnh.se/77f68d4d2us
Omidyar Network,731527,2,www.omidyar.com,"Redwood City, CA",Finance,Investment Banking & Asset Management,,1 to 50 employees,https://grnh.se/9b2d39531us
One & All Agency,2191285,2,www.oneandall.com,"Pasadena, CA",Business Services,Advertising & Marketing,,201 to 500 employees,https://grnh.se/0548314f2us
One Medical,384849,2,www.onemedical.com,"San Francisco, CA",Health Care,Health Care Services & Hospitals,Unknown / Non-Applicable per year,1001 to 5000 employees,https://grnh.se/48c960721us
One & Only Resorts,579402,2,www.oneandonlyresorts.com,"Capetown, CA",Travel & Tourism,"Hotels, Motels, & Resorts",,1001 to 5000 employees,https://grnh.se/bc1fafd53us
OppLoans,822047,2,www.opploans.com,"Chicago, IL",Finance,Lending,,201 to 500 employees,https://grnh.se/f1c08a713us
OS33,953733,2,www.os33.com,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/24f9219f2us
Ovative/group,1013538,2,www.ovative.com,"Minneapolis, MN",Business Services,Advertising & Marketing,,51 to 200 employees,https://grnh.se/7c4563951us
Paperless Post,555019,2,www.paperlesspost.com,"New York, NY",Information Technology,Internet,,51 to 200 employees,https://grnh.se/453d112c1us
Pathlight,692258,2,www.pathlightgroup.org,"Springfield, MA",Non-Profit,Social Assistance,,501 to 1000 employees,https://grnh.se/ca8979402us
Pixability,285629,2,www.pixability.com,"Boston, MA",Business Services,Advertising & Marketing,,51 to 200 employees,https://grnh.se/4434c00c1us
Plural Strategy,810740,2,www.pluralstrategy.com,"London, United Kingdom",Business Services,Consulting,"",1 to 50 employees,https://grnh.se/9a9f6f423us
Pocket,1771958,2,www.getpocket.com,"San Francisco, CA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/01e59fc51us
Poshmark,646480,2,www.poshmark.com,"Redwood City, CA",Information Technology,Internet,,201 to 500 employees,https://grnh.se/03dd0f371us
Primer AI,1842837,2,www.primer.ai,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/387b36513us
productboard,2296189,2,www.productboard.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/44e27af32us
Productsup,2066782,2,www.productsup.io,"Berlin, Germany",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/86155b4e2us
Public,1157616,2,www.publicinc.com,"Toronto, Canada",,,,1 to 50 employees,https://grnh.se/89bfd4523us
R.M. Chin & Associates,967466,2,www.rmchin.com,"Chicago, IL","",,"",51 to 200 employees,https://grnh.se/50790bbc2us
RAB Lighting,264879,2,www.rabweb.com,"Northvale, NJ",Manufacturing,Electrical & Electronic Manufacturing,,501 to 1000 employees,https://grnh.se/c99ebfb71us
Rational,711244,2,www.rationalcx.com,"Seattle, WA",Business Services,Consulting,Unknown / Non-Applicable,201 to 500 employees,https://grnh.se/1fdfc0222us
Recursion Pharmaceuticals,1384637,2,www.recursionpharma.com,"Salt Lake City, UT",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,51 to 200 employees,https://grnh.se/35469ffa1us
Redbubble,1002152,2,www.redbubble.com,"Melbourne, Australia",Information Technology,Internet,$100 to $500 million (USD) per year,201 to 500 employees,https://grnh.se/065512dd1us
Relay Graduate School of Education,500904,2,www.relay.edu,"New York, NY",Education,Colleges & Universities,,201 to 500 employees,https://grnh.se/6069856e1us
Rev.com,802400,2,www.rev.com,"Austin, TX",Information Technology,Internet,,51 to 200 employees,https://grnh.se/e0d4b2dc1us
